
Всего, январь-декабрь
Солтонский муниципальный район;;;;;
Муниципальный район;16653,5;12371,3;16700;11873,6;
Шелаболихинский муниципальный район;;;;;
Шелаболихинский муниципальный район;;;;;
Муниципальный район;15548,5;12772,2;17074,4;13657,3;
Табунский муниципальный район;;;;;
Табунский муниципальный район;;;;;
Муниципальный район;16535,8;13952,7;17681,2;14486,7;
Тальменский муниципальный район;;;;;
Тальменский муниципальный район;;;;;
Муниципальный район;18824,7;13904,4;19459;14176,6;
Тогульский муниципальный район;;;;;
Тогульский муниципальный район;;;;;
Муниципальный район;18466,2;11849,5;19247,9;12241,1;
Топчихинский муниципальный район;;;;;
Топчихинский муниципальный район;;;;;
Муниципальный район;17435;14276,7;18537,6;14662,6;
Третьяковский муниципальный район;;;;;
Третьяковский муниципальный район;;;;;
Муниципальный район;15779,2;12468,3;16872,9;13089,9;
Троицкий муниципальный район;;;;;
Троицкий муниципальный район;;;;;
Муниципальный район;16934,1;12777,8;17419;12387,3;
Тюменцевский муниципальный район;;;;;
Тюменцевский муниципальный район;;;;;
Муниципальный район;14239,8;11116,4;15672,2;12265,5;
Угловский муниципальный район;;;;;
Угловский муниципальный район;;;;;
Муниципальный район;16622;13381,6;17419,8;14060,8;
Усть-Калманский муниципальный район;;;;;
Усть-Калманский муниципальный район;;;;;
Муниципальный район;15961,2;12646,9;17819,3;13489,6;
Усть-Пристанский муниципальный район;;;;;
Усть-Пристанский муниципальный район;;;;;
Муниципальный район;15769,7;11656,7;16535,3;12204,8;
Хабарский муниципальный район;;;;;
Хабарский муниципальный район;;;;;
Муниципальный район;15457,8;13899,2;16656,5;14551,8;
Целинный муниципальный район;;;;;
Целинный муниципальный район;;;;;
Муниципальный район;18862,6;12804,7;20647,4;12906,8;
Чарышский муниципальный район;;;;;
Чарышский муниципальный район;;;;;
Муниципальный район;15687,9;11872,6;16799,1;11706,2;
Шипуновский муниципальный район;;;;;
Шипуновский муниципальный район;;;;;
Муниципальный район;16777,7;12029,5;17859,1;12622,6;
Немецкий национальный муниципальный район;;;;;
Немецкий национальный муниципальный район;;;;;
Муниципальный район;15041,5;13741,5;17071,4;14841,6;
Городские округа Алтайского края;;;;;
город Барнаул;;;;;
Городской округ;27433,7;18065,7;28937;18467,7;
город Алейск;;;;;
Городской округ;21080,7;13376,1;22947,5;14645,7;
город Белокуриха;;;;;
Городской округ;25479;17476,2;26970,1;17724,8;
город Бийск;;;;;
Городской округ;21270,1;14363,2;22892,6;14803,5;
город Заринск;;;;;
Городской округ;26248,4;14079,6;28824,8;14025;
город Камень-на-Оби;;;;;
Городской округ;18861,6;13626,3;;;
город Новоалтайск;;;;;
Городской округ;25368,5;16128,5;27344,5;17094,7;
город Рубцовск;;;;;
Городской округ;20002,9;13993,4;21384,7;14268,6;
город Славгород;;;;;
Городской округ;18577,9;14071,7;19461,7;14202,5;
город Яровое;;;;;
Городской округ;17742,1;14349,1;18586,6;15238;
ЗАТО Сибирский;;;;;
Городской округ;;;20236,3;17537,7;
